ClickID,PublisherID,CampaignID,ClickTime,ConversionTime,IPHash
8dfe3076bb91943d7b0d94d902fd55cc,1609,8243761,5/3/2018 6:15,00 0 0000 00:00:00,0f7cf31d85f9b0399826d75d0656cdb5
87429fff59594a52ebf4030d95855c05,1609,8243761,5/3/2018 6:15,00 0 0000 00:00:00,0f7cf31d85f9b0399826d75d0656cdb5
42c24d64c365f8268f62d46a88c844c8,1609,8243761,5/3/2018 6:15,00 0 0000 00:00:00,0f7cf31d85f9b0399826d75d0656cdb5
284efd071b86d1f9ee29a123e82657bd,2018,8789742,5/4/2018 10:39,00 0 0000 00:00:00,896ed8a67f1e4dc4059debe8b82aeaba
1c1ecaf1b8c3ff4a8e2276801dc87383,2018,8789742,5/4/2018 10:40,00 0 0000 00:00:00,6d7f1755ca44e36404cd453bea89e7f0
d3f19b6d4ca3f9217aacd48dae2418ba,2018,8787064,5/5/2018 0:55,00 0 0000 00:00:00,0e16b385a442c80a3607458ea62a273a
0dffe7bbd6b3b1ba33e39b73d924e41f,2018,8787064,5/5/2018 0:55,00 0 0000 00:00:00,0e16b385a442c80a3607458ea62a273a
fd15864e525480c8cdef9cba66875eb4,2018,8289936,5/5/2018 1:05,00 0 0000 00:00:00,058913f1d15e6f4dd40ff208dadc969e
6100f36ad38ac6255bea6c1efd59b943,2018,8289936,5/5/2018 1:06,00 0 0000 00:00:00,f673d6706ddb282d19cbeb2a576bca96
33f2f7a1a13e2e9c103119fc28649c55,2018,8289936,5/5/2018 1:07,00 0 0000 00:00:00,9656ca2a128de48aa8446be2d200f40b
6b7e9c5b20c892eca9691fbf0f9b8e36,2018,8289936,5/5/2018 1:08,00 0 0000 00:00:00,666cf9ba2811bcb828bfb1a4cc52a144
3b9e4daeab699e446845bdc8133c267f,1392,8787049,5/6/2018 22:17,00 0 0000 00:00:00,0100ddec6035d7c8c98bf275df47027a
ab4c2e4650680fa5fdef9b2233a8f484,2018,8289936,5/6/2018 10:53,00 0 0000 00:00:00,8c6248ec3e5bb7f4c7ad363a13758a5d
a28ec3a8809020be0e99ff14ea7bc17e,2018,8289936,5/6/2018 10:54,00 0 0000 00:00:00,a270e3fea8caa8f99ee4cdaa0938e125
e939199b741c701ad45b2c003dbfcd2c,1216,8787064,5/7/2018 11:49,00 0 0000 00:00:00,0a2037254264d29999713fb671579a67
694333cf4ac77cf2757e590ed0510065,1417,8787064,5/7/2018 11:50,00 0 0000 00:00:00,e6832bc8e5c7825422fa46f549551d9e
0d0f09d6dfb2e32410f6fa61e988be8b,1417,8516441,5/7/2018 11:52,00 0 0000 00:00:00,c1aaf64685cf4de2add9ac8bffebe770
e13c8f5ca0fa797067d798573af0e081,1417,8326817,5/7/2018 11:53,00 0 0000 00:00:00,8b4a4b0bc91fce61c4fc7fcb68cdb172
320a4cbce0a43e36b2741236159a1fa9,1417,8326817,5/7/2018 11:53,00 0 0000 00:00:00,8b4a4b0bc91fce61c4fc7fcb68cdb172
a1eb330f4e1dffd5aab23726912fb398,1216,8294276,5/7/2018 11:53,00 0 0000 00:00:00,c3c5ed4f5d101d4c3c3f1a6790f99806
